k,tau,lambda,gamma,training_rmse,testing_rmse,gap
1,0.01,0.02,0.1,0.7624,0.9234,0.1610
1,0.01,0.04,0.1,0.7452,0.9435,0.1983
1,0.01,0.06,0.1,0.7632,1.0992,0.3360
1,0.01,0.08,0.1,0.7455,1.0743,0.3288
1,0.02,0.02,0.1,0.7662,0.9255,0.1593
1,0.02,0.04,0.1,0.7576,0.9732,0.2156
1,0.02,0.06,0.1,0.7500,0.9625,0.2125
1,0.02,0.08,0.1,0.7470,1.0059,0.2588
1,0.03,0.02,0.1,0.7732,0.9232,0.1500
1,0.03,0.04,0.1,0.7612,0.9616,0.2005
1,0.03,0.06,0.1,0.7534,0.9625,0.2091
1,0.03,0.08,0.1,0.7294,0.9060,0.1766
1,0.04,0.02,0.1,0.7854,0.9292,0.1438
1,0.04,0.04,0.1,0.7625,0.9584,0.1960
1,0.04,0.06,0.1,0.7520,0.9613,0.2093
1,0.04,0.08,0.1,0.7316,0.9152,0.1836
1,0.01,0.02,0.2,0.7913,0.9884,0.1972
1,0.01,0.04,0.2,0.7640,0.9531,0.1891
1,0.01,0.06,0.2,0.7531,0.9525,0.1994
1,0.01,0.08,0.2,0.7432,0.9340,0.1908
1,0.02,0.02,0.2,0.8302,0.9799,0.1498
1,0.02,0.04,0.2,0.7663,0.9547,0.1884
1,0.02,0.06,0.2,0.7671,0.9608,0.1937
1,0.02,0.08,0.2,0.7532,0.9516,0.1983
1,0.03,0.02,0.2,0.8010,0.9362,0.1352
1,0.03,0.04,0.2,0.7670,0.9407,0.1737
1,0.03,0.06,0.2,0.7654,0.9677,0.2023
1,0.03,0.08,0.2,0.7444,0.9176,0.1733
1,0.04,0.02,0.2,0.8027,0.9407,0.1380
1,0.04,0.04,0.2,0.7769,0.9324,0.1555
1,0.04,0.06,0.2,0.7568,0.9202,0.1634
1,0.04,0.08,0.2,0.7553,0.9383,0.1830
1,0.01,0.02,0.30000000000000004,0.8234,1.0080,0.1846
1,0.01,0.04,0.30000000000000004,0.7900,0.9627,0.1727
1,0.01,0.06,0.30000000000000004,0.7704,0.9828,0.2124
1,0.01,0.08,0.30000000000000004,0.7619,0.9981,0.2361
1,0.02,0.02,0.30000000000000004,0.8286,0.9756,0.1470
1,0.02,0.04,0.30000000000000004,0.7807,0.9651,0.1844
1,0.02,0.06,0.30000000000000004,0.7778,0.9744,0.1966
1,0.02,0.08,0.30000000000000004,0.7682,0.9907,0.2224
1,0.03,0.02,0.30000000000000004,0.8149,0.9613,0.1464
1,0.03,0.04,0.30000000000000004,0.7784,0.9569,0.1785
