k=1, tau=0.01, lambda=0.02, gamma=0.1, training_rmse = 0.7624, testing_rmse = 0.9234, gap=0.1610
k=1, tau=0.01, lambda=0.04, gamma=0.1, training_rmse = 0.7452, testing_rmse = 0.9435, gap=0.1983
k=1, tau=0.01, lambda=0.06, gamma=0.1, training_rmse = 0.7632, testing_rmse = 1.0992, gap=0.3360
k=1, tau=0.01, lambda=0.08, gamma=0.1, training_rmse = 0.7455, testing_rmse = 1.0743, gap=0.3288
k=1, tau=0.02, lambda=0.02, gamma=0.1, training_rmse = 0.7662, testing_rmse = 0.9255, gap=0.1593
k=1, tau=0.02, lambda=0.04, gamma=0.1, training_rmse = 0.7576, testing_rmse = 0.9732, gap=0.2156
k=1, tau=0.02, lambda=0.06, gamma=0.1, training_rmse = 0.7500, testing_rmse = 0.9625, gap=0.2125
k=1, tau=0.02, lambda=0.08, gamma=0.1, training_rmse = 0.7470, testing_rmse = 1.0059, gap=0.2588
k=1, tau=0.03, lambda=0.02, gamma=0.1, training_rmse = 0.7732, testing_rmse = 0.9232, gap=0.1500
k=1, tau=0.03, lambda=0.04, gamma=0.1, training_rmse = 0.7612, testing_rmse = 0.9616, gap=0.2005
k=1, tau=0.03, lambda=0.06, gamma=0.1, training_rmse = 0.7534, testing_rmse = 0.9625, gap=0.2091
k=1, tau=0.03, lambda=0.08, gamma=0.1, training_rmse = 0.7294, testing_rmse = 0.9060, gap=0.1766
k=1, tau=0.04, lambda=0.02, gamma=0.1, training_rmse = 0.7854, testing_rmse = 0.9292, gap=0.1438
k=1, tau=0.04, lambda=0.04, gamma=0.1, training_rmse = 0.7625, testing_rmse = 0.9584, gap=0.1960
k=1, tau=0.04, lambda=0.06, gamma=0.1, training_rmse = 0.7520, testing_rmse = 0.9613, gap=0.2093
k=1, tau=0.04, lambda=0.08, gamma=0.1, training_rmse = 0.7316, testing_rmse = 0.9152, gap=0.1836
k=1, tau=0.01, lambda=0.02, gamma=0.2, training_rmse = 0.7913, testing_rmse = 0.9884, gap=0.1972
k=1, tau=0.01, lambda=0.04, gamma=0.2, training_rmse = 0.7640, testing_rmse = 0.9531, gap=0.1891
k=1, tau=0.01, lambda=0.06, gamma=0.2, training_rmse = 0.7531, testing_rmse = 0.9525, gap=0.1994
k=1, tau=0.01, lambda=0.08, gamma=0.2, training_rmse = 0.7432, testing_rmse = 0.9340, gap=0.1908
k=1, tau=0.02, lambda=0.02, gamma=0.2, training_rmse = 0.8302, testing_rmse = 0.9799, gap=0.1498
k=1, tau=0.02, lambda=0.04, gamma=0.2, training_rmse = 0.7663, testing_rmse = 0.9547, gap=0.1884
k=1, tau=0.02, lambda=0.06, gamma=0.2, training_rmse = 0.7671, testing_rmse = 0.9608, gap=0.1937
k=1, tau=0.02, lambda=0.08, gamma=0.2, training_rmse = 0.7532, testing_rmse = 0.9516, gap=0.1983
k=1, tau=0.03, lambda=0.02, gamma=0.2, training_rmse = 0.8010, testing_rmse = 0.9362, gap=0.1352
k=1, tau=0.03, lambda=0.04, gamma=0.2, training_rmse = 0.7670, testing_rmse = 0.9407, gap=0.1737
k=1, tau=0.03, lambda=0.06, gamma=0.2, training_rmse = 0.7654, testing_rmse = 0.9677, gap=0.2023
k=1, tau=0.03, lambda=0.08, gamma=0.2, training_rmse = 0.7444, testing_rmse = 0.9176, gap=0.1733
k=1, tau=0.04, lambda=0.02, gamma=0.2, training_rmse = 0.8027, testing_rmse = 0.9407, gap=0.1380
k=1, tau=0.04, lambda=0.04, gamma=0.2, training_rmse = 0.7769, testing_rmse = 0.9324, gap=0.1555
k=1, tau=0.04, lambda=0.06, gamma=0.2, training_rmse = 0.7568, testing_rmse = 0.9202, gap=0.1634
k=1, tau=0.04, lambda=0.08, gamma=0.2, training_rmse = 0.7553, testing_rmse = 0.9383, gap=0.1830
k=1, tau=0.01, lambda=0.02, gamma=0.30000000000000004, training_rmse = 0.8234, testing_rmse = 1.0080, gap=0.1846
k=1, tau=0.01, lambda=0.04, gamma=0.30000000000000004, training_rmse = 0.7900, testing_rmse = 0.9627, gap=0.1727
k=1, tau=0.01, lambda=0.06, gamma=0.30000000000000004, training_rmse = 0.7704, testing_rmse = 0.9828, gap=0.2124
k=1, tau=0.01, lambda=0.08, gamma=0.30000000000000004, training_rmse = 0.7619, testing_rmse = 0.9981, gap=0.2361
k=1, tau=0.02, lambda=0.02, gamma=0.30000000000000004, training_rmse = 0.8286, testing_rmse = 0.9756, gap=0.1470
k=1, tau=0.02, lambda=0.04, gamma=0.30000000000000004, training_rmse = 0.7807, testing_rmse = 0.9651, gap=0.1844
k=1, tau=0.02, lambda=0.06, gamma=0.30000000000000004, training_rmse = 0.7778, testing_rmse = 0.9744, gap=0.1966
k=1, tau=0.02, lambda=0.08, gamma=0.30000000000000004, training_rmse = 0.7682, testing_rmse = 0.9907, gap=0.2224
k=1, tau=0.03, lambda=0.02, gamma=0.30000000000000004, training_rmse = 0.8149, testing_rmse = 0.9613, gap=0.1464
k=1, tau=0.03, lambda=0.04, gamma=0.30000000000000004, training_rmse = 0.7784, testing_rmse = 0.9569, gap=0.1785
k=1, tau=0.03, lambda=0.06, gamma=0.30000000000000004, training_rmse = 0.7708, testing_rmse = 0.9570, gap=0.1862
k=1, tau=0.03, lambda=0.08, gamma=0.30000000000000004, training_rmse = 0.7661, testing_rmse = 0.9670, gap=0.2009
k=1, tau=0.04, lambda=0.02, gamma=0.30000000000000004, training_rmse = 0.8087, testing_rmse = 0.9450, gap=0.1362
k=1, tau=0.04, lambda=0.04, gamma=0.30000000000000004, training_rmse = 0.8006, testing_rmse = 0.9551, gap=0.1546
k=1, tau=0.04, lambda=0.06, gamma=0.30000000000000004, training_rmse = 0.7713, testing_rmse = 0.9489, gap=0.1775
k=1, tau=0.04, lambda=0.08, gamma=0.30000000000000004, training_rmse = 0.7682, testing_rmse = 0.9483, gap=0.1801
k=1, tau=0.01, lambda=0.02, gamma=0.4, training_rmse = 0.7947, testing_rmse = 0.9479, gap=0.1532
k=1, tau=0.01, lambda=0.04, gamma=0.4, training_rmse = 0.7772, testing_rmse = 0.9582, gap=0.1810
k=1, tau=0.01, lambda=0.06, gamma=0.4, training_rmse = 0.7751, testing_rmse = 0.9260, gap=0.1510
k=1, tau=0.01, lambda=0.08, gamma=0.4, training_rmse = 0.7652, testing_rmse = 0.9857, gap=0.2206
k=1, tau=0.02, lambda=0.02, gamma=0.4, training_rmse = 0.7947, testing_rmse = 0.9415, gap=0.1468
k=1, tau=0.02, lambda=0.04, gamma=0.4, training_rmse = 0.7813, testing_rmse = 0.9404, gap=0.1591
k=1, tau=0.02, lambda=0.06, gamma=0.4, training_rmse = 0.7739, testing_rmse = 0.9591, gap=0.1853
k=1, tau=0.02, lambda=0.08, gamma=0.4, training_rmse = 0.7754, testing_rmse = 0.9966, gap=0.2212
k=1, tau=0.03, lambda=0.02, gamma=0.4, training_rmse = 0.8035, testing_rmse = 0.9502, gap=0.1466
k=1, tau=0.03, lambda=0.04, gamma=0.4, training_rmse = 0.8216, testing_rmse = 0.9772, gap=0.1556
k=1, tau=0.03, lambda=0.06, gamma=0.4, training_rmse = 0.7766, testing_rmse = 0.9434, gap=0.1668
k=1, tau=0.03, lambda=0.08, gamma=0.4, training_rmse = 0.7698, testing_rmse = 0.9521, gap=0.1823
k=1, tau=0.04, lambda=0.02, gamma=0.4, training_rmse = 0.8155, testing_rmse = 0.9557, gap=0.1403
k=1, tau=0.04, lambda=0.04, gamma=0.4, training_rmse = 0.7967, testing_rmse = 0.9662, gap=0.1695
k=1, tau=0.04, lambda=0.06, gamma=0.4, training_rmse = 0.7753, testing_rmse = 0.9437, gap=0.1684
k=1, tau=0.04, lambda=0.08, gamma=0.4, training_rmse = 0.7653, testing_rmse = 0.9286, gap=0.1633
k=2, tau=0.01, lambda=0.02, gamma=0.1, training_rmse = 0.7193, testing_rmse = 0.9611, gap=0.2417
k=2, tau=0.01, lambda=0.04, gamma=0.1, training_rmse = 0.6992, testing_rmse = 0.9708, gap=0.2717
k=2, tau=0.01, lambda=0.06, gamma=0.1, training_rmse = 0.6948, testing_rmse = 0.9947, gap=0.2999
k=2, tau=0.01, lambda=0.08, gamma=0.1, training_rmse = 0.6877, testing_rmse = 0.9794, gap=0.2917
k=2, tau=0.02, lambda=0.02, gamma=0.1, training_rmse = 0.7144, testing_rmse = 0.9327, gap=0.2182
k=2, tau=0.02, lambda=0.04, gamma=0.1, training_rmse = 0.6985, testing_rmse = 0.9582, gap=0.2596
k=2, tau=0.02, lambda=0.06, gamma=0.1, training_rmse = 0.6973, testing_rmse = 0.9608, gap=0.2635
k=2, tau=0.02, lambda=0.08, gamma=0.1, training_rmse = 0.6921, testing_rmse = 1.0148, gap=0.3227
k=2, tau=0.03, lambda=0.02, gamma=0.1, training_rmse = 0.7269, testing_rmse = 0.9351, gap=0.2083
k=2, tau=0.03, lambda=0.04, gamma=0.1, training_rmse = 0.6983, testing_rmse = 0.9379, gap=0.2396
k=2, tau=0.03, lambda=0.06, gamma=0.1, training_rmse = 0.6898, testing_rmse = 0.9801, gap=0.2903
k=2, tau=0.03, lambda=0.08, gamma=0.1, training_rmse = 0.6853, testing_rmse = 0.9409, gap=0.2555
k=2, tau=0.04, lambda=0.02, gamma=0.1, training_rmse = 0.7254, testing_rmse = 0.9308, gap=0.2054
k=2, tau=0.04, lambda=0.04, gamma=0.1, training_rmse = 0.7060, testing_rmse = 0.9393, gap=0.2334
k=2, tau=0.04, lambda=0.06, gamma=0.1, training_rmse = 0.6893, testing_rmse = 0.9258, gap=0.2365
k=2, tau=0.04, lambda=0.08, gamma=0.1, training_rmse = 0.6941, testing_rmse = 0.9638, gap=0.2697
k=2, tau=0.01, lambda=0.02, gamma=0.2, training_rmse = 0.7253, testing_rmse = 0.9602, gap=0.2349
