k,tau,lambda,gamma,training_rmse,testing_rmse,gap
1,0.01,0.02,0.1,0.8664,0.8908,0.0245
1,0.01,0.04,0.1,0.8616,0.8859,0.0242
1,0.01,0.06,0.1,0.8611,0.8850,0.0239
1,0.01,0.08,0.1,0.8606,0.8852,0.0246
1,0.02,0.02,0.1,0.8665,0.8892,0.0227
1,0.02,0.04,0.1,0.8618,0.8852,0.0235
1,0.02,0.06,0.1,0.8607,0.8848,0.0241
1,0.02,0.08,0.1,0.8602,0.8846,0.0245
1,0.03,0.02,0.1,0.8662,0.8884,0.0222
1,0.03,0.04,0.1,0.8623,0.8851,0.0228
1,0.03,0.06,0.1,0.8608,0.8840,0.0232
1,0.03,0.08,0.1,0.8601,0.8842,0.0241
1,0.04,0.02,0.1,0.8667,0.8882,0.0215
1,0.04,0.04,0.1,0.8630,0.8859,0.0229
1,0.04,0.06,0.1,0.8614,0.8846,0.0233
1,0.04,0.08,0.1,0.8603,0.8837,0.0235
1,0.01,0.02,0.2,0.8903,0.9111,0.0208
1,0.01,0.04,0.2,0.8677,0.8912,0.0234
1,0.01,0.06,0.2,0.8646,0.8880,0.0235
1,0.01,0.08,0.2,0.8621,0.8870,0.0250
1,0.02,0.02,0.2,0.8789,0.8993,0.0204
1,0.02,0.04,0.2,0.8678,0.8907,0.0229
1,0.02,0.06,0.2,0.8636,0.8872,0.0236
1,0.02,0.08,0.2,0.8624,0.8857,0.0234
1,0.03,0.02,0.2,0.8758,0.8969,0.0211
1,0.03,0.04,0.2,0.8665,0.8902,0.0237
1,0.03,0.06,0.2,0.8631,0.8867,0.0236
1,0.03,0.08,0.2,0.8637,0.8873,0.0236
1,0.04,0.02,0.2,0.8777,0.8980,0.0203
1,0.04,0.04,0.2,0.8672,0.8895,0.0223
1,0.04,0.06,0.2,0.8631,0.8864,0.0233
1,0.04,0.08,0.2,0.8619,0.8850,0.0231
1,0.01,0.02,0.30000000000000004,0.8816,0.9024,0.0208
1,0.01,0.04,0.30000000000000004,0.8737,0.8963,0.0226
1,0.01,0.06,0.30000000000000004,0.8673,0.8922,0.0248
1,0.01,0.08,0.30000000000000004,0.8642,0.8895,0.0253
1,0.02,0.02,0.30000000000000004,0.8902,0.9085,0.0183
1,0.02,0.04,0.30000000000000004,0.8710,0.8945,0.0235
1,0.02,0.06,0.30000000000000004,0.8660,0.8917,0.0256
1,0.02,0.08,0.30000000000000004,0.8645,0.8886,0.0241
1,0.03,0.02,0.30000000000000004,0.8884,0.9107,0.0224
1,0.03,0.04,0.30000000000000004,0.8906,0.9117,0.0211
1,0.03,0.06,0.30000000000000004,0.8669,0.8910,0.0241
1,0.03,0.08,0.30000000000000004,0.8683,0.8923,0.0240
1,0.04,0.02,0.30000000000000004,0.8834,0.9024,0.0190
1,0.04,0.04,0.30000000000000004,0.8817,0.9026,0.0208
1,0.04,0.06,0.30000000000000004,0.8667,0.8896,0.0230
1,0.04,0.08,0.30000000000000004,0.8656,0.8889,0.0233
1,0.01,0.02,0.4,0.8936,0.9111,0.0175
1,0.01,0.04,0.4,0.8834,0.9055,0.0221
1,0.01,0.06,0.4,0.8742,0.9037,0.0295
1,0.01,0.08,0.4,0.8676,0.8945,0.0269
1,0.02,0.02,0.4,0.9039,0.9311,0.0272
1,0.02,0.04,0.4,0.8781,0.9017,0.0236
1,0.02,0.06,0.4,0.8878,0.9116,0.0238
1,0.02,0.08,0.4,0.8681,0.8929,0.0249
1,0.03,0.02,0.4,0.8882,0.9052,0.0171
1,0.03,0.04,0.4,0.8771,0.9013,0.0242
1,0.03,0.06,0.4,0.8765,0.9009,0.0244
1,0.03,0.08,0.4,0.8671,0.8914,0.0244
1,0.04,0.02,0.4,0.8887,0.9063,0.0176
1,0.04,0.04,0.4,0.8875,0.9081,0.0206
1,0.04,0.06,0.4,0.8787,0.9017,0.0230
1,0.04,0.08,0.4,0.8661,0.8907,0.0245
2,0.01,0.02,0.1,0.8458,0.8843,0.0385
2,0.01,0.04,0.1,0.8447,0.8852,0.0405
2,0.01,0.06,0.1,0.8387,0.8791,0.0404
2,0.01,0.08,0.1,0.8432,0.8850,0.0418
2,0.02,0.02,0.1,0.8438,0.8791,0.0353
2,0.02,0.04,0.1,0.8481,0.8853,0.0372
2,0.02,0.06,0.1,0.8382,0.8766,0.0384
2,0.02,0.08,0.1,0.8408,0.8795,0.0387
2,0.03,0.02,0.1,0.8523,0.8854,0.0331
2,0.03,0.04,0.1,0.8453,0.8827,0.0373
2,0.03,0.06,0.1,0.8457,0.8846,0.0389
2,0.03,0.08,0.1,0.8397,0.8784,0.0387
2,0.04,0.02,0.1,0.8522,0.8846,0.0324
2,0.04,0.04,0.1,0.8411,0.8765,0.0354
2,0.04,0.06,0.1,0.8420,0.8782,0.0363
2,0.04,0.08,0.1,0.8381,0.8754,0.0373
2,0.01,0.02,0.2,0.8554,0.8874,0.0320
2,0.01,0.04,0.2,0.8455,0.8826,0.0371
2,0.01,0.06,0.2,0.8476,0.8874,0.0398
2,0.01,0.08,0.2,0.8398,0.8805,0.0407
2,0.02,0.02,0.2,0.8524,0.8863,0.0339
2,0.02,0.04,0.2,0.8456,0.8828,0.0373
2,0.02,0.06,0.2,0.8445,0.8834,0.0389
2,0.02,0.08,0.2,0.8392,0.8777,0.0386
2,0.03,0.02,0.2,0.8543,0.8872,0.0329
2,0.03,0.04,0.2,0.8516,0.8853,0.0338
2,0.03,0.06,0.2,0.8408,0.8775,0.0367
2,0.03,0.08,0.2,0.8416,0.8791,0.0375
2,0.04,0.02,0.2,0.8557,0.8866,0.0309
2,0.04,0.04,0.2,0.8473,0.8826,0.0353
2,0.04,0.06,0.2,0.8494,0.8869,0.0375
2,0.04,0.08,0.2,0.8396,0.8765,0.0369
2,0.01,0.02,0.30000000000000004,0.8576,0.8878,0.0302
2,0.01,0.04,0.30000000000000004,0.8562,0.8945,0.0383
2,0.01,0.06,0.30000000000000004,0.8515,0.8922,0.0407
2,0.01,0.08,0.30000000000000004,0.8419,0.8836,0.0417
2,0.02,0.02,0.30000000000000004,0.8567,0.8856,0.0289
2,0.02,0.04,0.30000000000000004,0.8499,0.8845,0.0345
2,0.02,0.06,0.30000000000000004,0.8523,0.8892,0.0369
2,0.02,0.08,0.30000000000000004,0.8413,0.8812,0.0399
2,0.03,0.02,0.30000000000000004,0.8581,0.8862,0.0281
2,0.03,0.04,0.30000000000000004,0.8500,0.8856,0.0356
2,0.03,0.06,0.30000000000000004,0.8440,0.8817,0.0377
2,0.03,0.08,0.30000000000000004,0.8478,0.8860,0.0382
2,0.04,0.02,0.30000000000000004,0.8563,0.8852,0.0288
2,0.04,0.04,0.30000000000000004,0.8536,0.8862,0.0326
2,0.04,0.06,0.30000000000000004,0.8437,0.8810,0.0373
2,0.04,0.08,0.30000000000000004,0.8492,0.8856,0.0363
2,0.01,0.02,0.4,0.8569,0.8864,0.0294
2,0.01,0.04,0.4,0.8572,0.8912,0.0340
2,0.01,0.06,0.4,0.8521,0.8921,0.0400
2,0.01,0.08,0.4,0.8510,0.8919,0.0409
2,0.02,0.02,0.4,0.8569,0.8853,0.0284
2,0.02,0.04,0.4,0.8543,0.8878,0.0335
2,0.02,0.06,0.4,0.8551,0.8909,0.0358
2,0.02,0.08,0.4,0.8495,0.8909,0.0414
2,0.03,0.02,0.4,0.8588,0.8858,0.0270
2,0.03,0.04,0.4,0.8515,0.8841,0.0326
2,0.03,0.06,0.4,0.8461,0.8828,0.0367
2,0.03,0.08,0.4,0.8481,0.8862,0.0381
2,0.04,0.02,0.4,0.8590,0.8862,0.0272
2,0.04,0.04,0.4,0.8563,0.8865,0.0302
2,0.04,0.06,0.4,0.8534,0.8876,0.0342
2,0.04,0.08,0.4,0.8501,0.8892,0.0391
3,0.01,0.02,0.1,0.8314,0.8826,0.0513
3,0.01,0.04,0.1,0.8236,0.8773,0.0536
3,0.01,0.06,0.1,0.8228,0.8766,0.0538
3,0.01,0.08,0.1,0.8231,0.8794,0.0563
3,0.02,0.02,0.1,0.8302,0.8766,0.0464
3,0.02,0.04,0.1,0.8241,0.8748,0.0507
3,0.02,0.06,0.1,0.8224,0.8736,0.0512
3,0.02,0.08,0.1,0.8242,0.8786,0.0544
3,0.03,0.02,0.1,0.8293,0.8727,0.0434
3,0.03,0.04,0.1,0.8256,0.8752,0.0497
3,0.03,0.06,0.1,0.8227,0.8726,0.0499
3,0.03,0.08,0.1,0.8227,0.8763,0.0536
3,0.04,0.02,0.1,0.8301,0.8730,0.0429
3,0.04,0.04,0.1,0.8250,0.8726,0.0476
3,0.04,0.06,0.1,0.8235,0.8729,0.0494
3,0.04,0.08,0.1,0.8288,0.8802,0.0514
3,0.01,0.02,0.2,0.8356,0.8806,0.0450
3,0.01,0.04,0.2,0.8327,0.8844,0.0517
3,0.01,0.06,0.2,0.8283,0.8860,0.0577
3,0.01,0.08,0.2,0.8263,0.8863,0.0599
3,0.02,0.02,0.2,0.8364,0.8794,0.0429
3,0.02,0.04,0.2,0.8300,0.8783,0.0483
3,0.02,0.06,0.2,0.8282,0.8802,0.0520
3,0.02,0.08,0.2,0.8276,0.8812,0.0537
3,0.03,0.02,0.2,0.8363,0.8773,0.0410
3,0.03,0.04,0.2,0.8314,0.8784,0.0471
3,0.03,0.06,0.2,0.8321,0.8829,0.0507
3,0.03,0.08,0.2,0.8249,0.8780,0.0531
3,0.04,0.02,0.2,0.8389,0.8779,0.0390
3,0.04,0.04,0.2,0.8284,0.8757,0.0473
3,0.04,0.06,0.2,0.8252,0.8750,0.0498
3,0.04,0.08,0.2,0.8251,0.8763,0.0512
3,0.01,0.02,0.30000000000000004,0.8361,0.8795,0.0435
3,0.01,0.04,0.30000000000000004,0.8329,0.8826,0.0497
3,0.01,0.06,0.30000000000000004,0.8338,0.8877,0.0539
3,0.01,0.08,0.30000000000000004,0.8315,0.8877,0.0562
3,0.02,0.02,0.30000000000000004,0.8394,0.8797,0.0403
3,0.02,0.04,0.30000000000000004,0.8369,0.8836,0.0468
3,0.02,0.06,0.30000000000000004,0.8339,0.8845,0.0506
3,0.02,0.08,0.30000000000000004,0.8304,0.8847,0.0544
3,0.03,0.02,0.30000000000000004,0.8410,0.8835,0.0425
3,0.03,0.04,0.30000000000000004,0.8299,0.8770,0.0470
3,0.03,0.06,0.30000000000000004,0.8279,0.8780,0.0501
3,0.03,0.08,0.30000000000000004,0.8261,0.8773,0.0513
3,0.04,0.02,0.30000000000000004,0.8436,0.8819,0.0383
3,0.04,0.04,0.30000000000000004,0.8402,0.8830,0.0428
3,0.04,0.06,0.30000000000000004,0.8305,0.8785,0.0481
3,0.04,0.08,0.30000000000000004,0.8285,0.8790,0.0506
3,0.01,0.02,0.4,0.8370,0.8787,0.0417
3,0.01,0.04,0.4,0.8373,0.8846,0.0473
3,0.01,0.06,0.4,0.8341,0.8857,0.0516
3,0.01,0.08,0.4,0.8327,0.8898,0.0571
3,0.02,0.02,0.4,0.8425,0.8810,0.0386
3,0.02,0.04,0.4,0.8366,0.8807,0.0441
3,0.02,0.06,0.4,0.8366,0.8843,0.0477
3,0.02,0.08,0.4,0.8331,0.8867,0.0536
3,0.03,0.02,0.4,0.8373,0.8753,0.0380
3,0.03,0.04,0.4,0.8359,0.8807,0.0448
3,0.03,0.06,0.4,0.8331,0.8806,0.0475
3,0.03,0.08,0.4,0.8307,0.8817,0.0510
3,0.04,0.02,0.4,0.8431,0.8799,0.0368
3,0.04,0.04,0.4,0.8362,0.8774,0.0412
